E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
8.74037, 7.82924, 0, 39.9299, 0.00402846
9.73321, 7.82924, 0, 40.9228, 0.00153281
11.9976, 7.82924, 0, 43.1872, 0.00438751
13.2342, 7.82924, 0, 44.4238, 0.00779201
11.9839, 7.82924, 0, 43.1735, 0.00238352
13.6076, 7.82924, 0, 44.7972, 0.00412024
11.1383, 7.82924, 0, 42.3279, 0.00185322
9.22514, 7.82924, 0, 40.4147, 0.00360118
11.8744, 7.82924, 0, 43.064, 0.00161068
11.233, 7.82924, 0, 42.4226, 0.00517103
7.08448, 7.82924, 0, 38.2741, 0.0021584
10.8911, 7.82924, 0, 42.0807, 0.00389171
11.6307, 7.82924, 0, 42.8203, 0.00142907
10.5947, 7.82924, 0, 41.7842, 0.00330817
8.9743, 7.19705, 0.579695, 21.2723, 0.0119437
6.8602, 7.75026, 0.842368, 22.9732, 0.0160698
10.1978, 7.37799, 11.2914, 34.7233, 0.0420906
5.10737, 7.51518, 1.34662, 30.6179, 0.0924804
12.9101, 7.47092, 3.67437, 30.2759, 0.0043612
11.4887, 7.45461, 2.93389, 25.4047, 0.0929391
7.30123, 7.44706, 0.506006, 15.4504, 0.00391003
11.2243, 7.43838, 0.128327, 19.0501, 0.0133552
10.4359, 7.43154, 0.0199986, 18.0006, 0.00467192
14.3965, 7.4255, 0.0205775, 21.9721, 8.19783e-05
7.31608, 7.42025, 0.0189376, 14.8861, 0.00482863
11.4698, 7.41566, 0.024189, 19.041, 0.00165619
8.68439, 7.41165, 0.0162159, 16.2439, 0.000875714
10.8114, 7.40814, 0.0171865, 18.3684, 0.00306444
8.33718, 7.40507, 8.49188e-07, 15.8737, 0.0035757
11.5712, 7.34785, 0.000323857, 19.0441, 0.00631417
9.50595, 7.30836, 0.000167843, 16.9354, 0.00153667
10.5227, 7.27088, 0.000721896, 17.912, 0.00220309
8.60071, 7.24335, 0.00078335, 15.9606, 0.0053082
8.64569, 7.2226, 5.83929e-05, 15.9828, 0.00411314
8.55269, 7.19532, 0.000307251, 15.8967, 0.00213064
8.39082, 7.17409, 0.00056677, 15.7049, 0.00371546
8.24035, 7.15725, 0.000892362, 15.5313, 0.00150468
12.509, 7.14372, 0.00120902, 19.7817, 0.000588974
8.83623, 7.1327, 0.00146307, 16.0943, 0.00407276
8.31297, 7.12365, 1.42026e-05, 15.5576, 0.00357281
7.79531, 7.1106, 5.18342e-05, 15.0238, 0.00394979
10.3282, 7.09972, 1.01995e-05, 17.5434, 0.00203565
8.34885, 7.08973, 1.06635e-05, 15.552, 0.00648453
10.0305, 7.08093, 4.28858e-05, 17.2232, 0.00324766
6.97613, 7.07346, 4.25928e-05, 14.1599, 0.0042881
12.1413, 7.06709, 0.000116773, 19.3177, 0.00417032
10.2517, 7.06164, 0.000176914, 17.4217, 0.00547173
9.66999, 7.05697, 2.11308e-06, 16.8343, 0.00464104
9.66024, 7.05224, 7.99754e-06, 16.8191, 0.00619441
8.21127, 7.04816, 1.34527e-06, 15.3653, 0.0026881
10.4124, 7.0445, 8.59126e-06, 17.5623, 0.00464576
8.73106, 7.04132, 1.14065e-05, 15.8772, 0.00499817
6.67784, 7.03856, 1.71132e-05, 13.8209, 0.00235401
6.85159, 7.03616, 6.12714e-07, 13.9918, 0.0107443
6.95557, 7.03396, 2.39035e-06, 14.1261, 0.00401218
6.15059, 7.03203, 4.84775e-06, 13.3181, 0.0064934
10.2425, 7.03036, 8.16238e-06, 17.4074, 0.00177309
9.20241, 7.02889, 9.4946e-06, 16.365, 0.00251689
11.1164, 7.02761, 1.66836e-05, 18.277, 0.00212557
9.70867, 7.02649, 1.53343e-07, 16.8675, 0.00540229
10.9846, 7.02546, 1.72119e-07, 18.1419, 0.00143625
10.046, 7.02456, 4.22477e-07, 17.2019, 0.00314494
10.0917, 7.02376, 8.02069e-07, 17.2465, 0.00535827
11.483, 7.02307, 1.39853e-06, 18.6366, 0.00277139
9.53799, 7.02246, 2.84848e-06, 16.6907, 0.00136407
9.25511, 7.02192, 2.54001e-06, 16.4071, 0.00323769
7.62061, 7.02145, 2.30133e-06, 14.7718, 0.00189091
7.5654, 7.02104, 3.42743e-06, 14.716, 0.00209938
8.91033, 7.02068, 3.15082e-06, 16.0604, 0.00307532
13.7046, 7.02036, 1.20287e-08, 20.8542, 0.0041352
10.101, 7.02007, 1.20269e-08, 17.2502, 0.000994402
7.52477, 7.01982, 3.40368e-08, 14.6735, 0.0038449
9.84633, 7.0196, 7.29689e-08, 16.9948, 0.00516682
11.9192, 7.0194, 7.36302e-08, 19.0673, 0.00322671
13.3552, 7.01923, 1.02564e-07, 20.5438, 0.00250818
11.2827, 7.01908, 1.88351e-07, 18.4709, 0.00277525
9.19256, 7.01895, 2.50132e-09, 16.3805, 0.00329617
10.8702, 7.01883, 9.8422e-10, 18.0579, 0.00346781
10.9777, 7.01873, 7.95441e-10, 18.1651, 0.0081226
11.648, 7.01864, 1.28342e-09, 18.8352, 0.00325265
11.9689, 7.01856, 2.68686e-09, 19.1559, 0.0012331
7.59731, 7.01849, 5.64907e-09, 14.7842, 0.00492852
10.1649, 7.01843, 1.65275e-08, 17.3516, 0.00428166
12.0148, 7.01837, 1.44628e-08, 19.2014, 0.00142539
10.1642, 7.01833, 1.67311e-10, 17.3508, 0.00184222
10.181, 7.01828, 7.05104e-10, 17.3674, 0.00693373
8.91838, 7.01825, 1.22254e-10, 16.1047, 0.00201086
11.3172, 7.01821, 3.93289e-10, 18.5035, 0.00356911
13.8363, 7.01819, 8.9928e-10, 21.0225, 0.00400386
10.6123, 7.01816, 1.57309e-09, 17.7985, 0.00864008
8.81927, 7.01814, 4.82438e-11, 16.0054, 0.0016007
6.31884, 7.01812, 1.82612e-10, 13.5049, 0.0059492
11.0074, 7.0181, 5.69823e-10, 18.1934, 0.00211274
7.00447, 7.01809, 5.65119e-10, 14.1904, 0.00693945
9.12412, 7.01807, 5.58996e-10, 16.3631, 0.00248453
